дата,Заголовок,Цена,Рейтинг,Пушкинская карта
2025-05-17,"Просто бэби, или Любовь по-французски",600,8.7,0
2025-05-17,Маяковский. Я сам,2000,8.4,0
2025-05-17,Кабаре,1000,8.5,0
2025-05-17,Маугли,500,9.6,0
2025-05-17,Руслан и Людмила,300,7.9,1
2025-05-17,Волшебник Изумрудного города,300,8.9,1
2025-05-17,"Вероятно, чаепитие состоится",1300,9.5,0
2025-05-17,Конёк-Горбунок,550,9.3,0
2025-05-17,Лебединое озеро,4000,8.2,0
2025-05-17,Пушкин. Наше всё!,1100,9.7,0
2025-05-17,Том Сойер,300,8.9,0
2025-05-17,На всякого мудреца довольно простоты,500,9.2,0
2025-05-17,Эти свободные бабочки,600,8.9,0
2025-05-17,Париж для двоих,1500,7.8,0
2025-05-17,Новая XII. Лаборатория новых медиа. Миф о Прометее,800, ,0
2025-05-17,1234,3500, ,0
2025-05-17,Пламя Парижа,1500, ,1
2025-05-17,Барышня-крестьянка,1200, ,0
2025-05-17,Как важно быть серьёзным,900, ,0
2025-05-17,Аудиогид по Витебскому вокзалу,400, ,0
2025-05-17,Спящая красавица,500, ,0
2025-05-17,Малыш и Карлсон,1500, ,0
2025-05-17,Красная шапочка,500, ,0
2025-05-17,Турандот,300,,1
2025-05-17,Вафельное сердце,2000,10.0,0
2025-05-17,НеЛиверпульская четвёрка,2000,8.9,0
2025-05-17,Бог резни,800,,0
2025-05-17,Судный день,4000,9.5,0
2025-05-17,Иван Васильевич,600,9.4,0
2025-05-17,Angel Street,1200,9.3,0
2025-05-17,Недоросль,600,,0
2025-05-17,Спартак,3750,,0
2025-05-17,Путь Раскольникова,2000,9.0,0
2025-05-17,Вещь,2000, ,1
2025-05-17,Монаший колодец,1100,9.1,0
2025-05-17,Сказка о прекрасной царевне и семи богатырях,400,,0
2025-05-17,Золотой ключик,700,,0
2025-05-17,"Сказка про Эльфика, Звёздочку и Флейту",1100, ,0
2025-05-17,Профсоюз работников ада,2000,7.1,0
2025-05-17,Мэри Поппинс с нами,800,9.2,1
2025-05-17,"Город Достоевского, или 730 шагов с Родионом…",1200, ,0
2025-05-17,Фантазии Фарятьева,750, ,0
2025-05-17,Вампир,2500, ,1
2025-05-17,До свадьбы доживёт,3200, ,0
2025-05-17,Хотите сделать меня счастливой?,1300, ,0
2025-05-17,Любимая игрушка,600, ,0
2025-05-17,Вдох,3200, ,0
2025-05-17,Педсовет,1000, ,0
2025-05-17,"Трое на плоту, не считая носорогов",1000, ,0
2025-05-17,"No Woman, No Cry",1500, ,0
2025-05-17,Сказки на всякий случай,1200, ,0
2025-05-17,"Шторм, Гладь и Бриз",500, ,0
2025-05-17,Смерти нет,600, ,0
2025-05-17,С любовью не шутят,800, ,0
2025-05-17,Рюи Блаз,1000, ,0
2025-05-17,Эти свободные бабочки!,1000, ,0
2025-05-17,Евгений Онегин,1000, ,1
2025-05-17,"Барская спесь, или Анютины глазки",1000, ,0
2025-05-17,Тайны особняка Брусницыных,4300, ,0
2025-05-17,Никогда,1200,,0
2025-05-17,Две истории о войне,400,,0
2025-05-17,"Ты, я и город. Музыкально-поэтический спектакль с…",1200,,0
2025-05-17,Кукушечка,400, ,0
2025-05-17,Золушка,800, ,0
2025-05-17,"Ночь в театре, или Драматический водевиль",700, ,0
2025-05-17,Где спит твоё сердце?,1000, ,0
2025-05-17,Высший свет,1200, ,0
2025-05-17,Школа петербургского флирта,1000,7.9,0
2025-05-17,Ответ Гиппократа,3200,8.2,0
2025-05-17,Айболит,530,,0
2025-05-17,Ужасы в цветочном магазине,500,8.3,0
2025-05-17,Кошкин дом,600, ,0
2025-05-17,Дюймовочка,600, ,1
2025-05-17,Три поросёнка,650, ,0
2025-05-17,Белоснежка и семь гномов,600, ,0
2025-05-17,Айболит,700, ,0
2025-05-17,Робинзон Пик,350, ,0
2025-05-17,Кентервильское привидение,1100, ,0
2025-05-17,Прогулка  с облаками,800, ,0
2025-05-17,Колобок,900, ,0
2025-05-17,Загадка амулета,3000, ,0
2025-05-17,Принцесса на горошине,800, ,0
2025-05-17,Бабушка на яблоне,1000, ,0
2025-05-17,Кошкин дом,1400,,0
2025-05-17,Маша и медведь,530,,0
2025-05-17,Сколько весит сверчок?,1600, ,0
2025-05-17,Третья карта,5950,7.6,0
2025-05-17,Фауст. Пари дьявола,2500, ,0
2025-05-17,Красная шапочка,1500, ,0
2025-05-17,С Чарльзом Буковски за барной стойкой,650, ,0
2025-05-17,Мой Брод,1000, ,0
2025-05-18,Маугли,500,9.6,0
2025-05-18,Ретро,1500,,0
2025-05-18,Малыш и Карлсон,300,9.2,1
2025-05-18,Ромео и Джульетта,600,,0
2025-05-18,Руслан и Людмила,300,7.9,1
2025-05-18,"Там, где живут драконы",500,8.6,0
2025-05-18,"Вероятно, чаепитие состоится",1300,9.5,0
2025-05-18,Золушка,1500,9.1,1
2025-05-18,Сказка о потерянном времени,550,8.8,0
2025-05-18,Лебединое озеро,1500,8.8,0
2025-05-18,Nеополитанцы,300,9.0,0
2025-05-18,История зверушек,1000,9.8,0
2025-05-18,Живой товар,300,8.0,1
2025-05-18,Стеклянный зверинец,500,,0
2025-05-18,Рассказы,1300, ,0
2025-05-18,Прощание в июне,400, ,0
2025-05-18,Родные / Близкие,1000, ,0
2025-05-18,Экзюпери + Маленький принц,700, ,0
2025-05-18,Попытка не пытка,1000, ,0
2025-05-18,Царь Эдип,800, ,0
2025-05-18,1234,3500, ,0
2025-05-18,Новая XII. Лаборатория новых медиа. Миф о Прометее,800, ,0
2025-05-18,Аудиогид по Витебскому вокзалу,400, ,0
2025-05-18,Как живётся — можется,500,8.3,1
2025-05-18,Спящая красавица,500,,0
2025-05-18,И никаких но!,600,8.1,0
2025-05-18,Приключения Буратино,600,,0
2025-05-18,Севка,1500,,0
2025-05-18,Школа налогоплательщиков,500,7.8,0
2025-05-18,Феерия-Буфф,1500,,0
2025-05-18,Театральное закулисье,650,,0
2025-05-18,Сцены из супружеской жизни,800,7.1,0
2025-05-18,Итальянка в Алжире,800,7.1,0
2025-05-18,Вафельное сердце,2000,10.0,0
